time,open,high,low,close
1978-05-19,179.2,179.5,178.2,178.6
1978-05-22,179.2,180.0,178.9,179.9
1978-05-23,179.8,182.2,179.7,181.8
1978-05-24,180.0,180.7,179.3,179.4
1978-05-25,179.4,180.4,178.0,180.3
1978-05-26,179.0,180.1,178.5,179.8
1978-05-30,185.0,187.0,184.8,186.6
1978-05-31,187.9,188.4,186.7,187.0
1978-06-01,185.5,187.3,185.5,186.7
1978-06-02,187.2,188.4,185.2,185.2
1978-06-05,185.5,185.7,183.5,184.0
1978-06-06,184.1,184.7,182.5,184.3
1978-06-07,184.7,185.5,182.5,182.7
1978-06-08,185.0,185.1,183.9,184.0
1978-06-09,183.1,184.1,182.2,183.5
1978-06-12,182.9,183.7,181.9,183.3
1978-06-13,184.2,185.6,184.1,185.5
1978-06-14,186.0,186.4,184.7,185.0
1978-06-15,184.2,186.1,184.0,185.9
1978-06-16,186.4,187.5,186.1,187.5
1978-06-19,186.6,189.0,186.3,188.3
1978-06-20,188.9,189.3,187.6,187.7
1978-06-21,188.2,189.1,187.3,187.6
1978-06-22,187.0,188.0,186.1,188.0
1978-06-23,187.5,188.6,187.3,187.4
1978-06-26,187.4,187.8,186.2,186.5
1978-06-27,187.0,187.1,185.3,186.5
1978-06-28,187.4,187.4,185.9,186.0
1978-06-29,186.0,186.0,183.6,183.9
1978-06-30,184.2,184.6,182.8,183.7
1978-07-03,184.5,185.2,184.2,184.8
1978-07-05,185.8,185.8,184.4,184.9
1978-07-06,184.2,184.2,183.2,183.9
1978-07-07,185.0,186.6,184.7,186.5
1978-07-10,187.0,188.0,186.9,187.2
1978-07-11,186.7,186.7,186.0,186.6
1978-07-12,187.1,187.5,186.7,187.2
1978-07-13,187.5,188.0,186.1,186.1
1978-07-14,186.5,186.8,185.8,186.6
1978-07-17,185.6,185.8,183.9,184.8
1978-07-18,185.1,186.2,184.6,186.0
1978-07-19,186.0,187.8,185.7,187.4
1978-07-20,188.5,192.6,188.4,192.2
1978-07-21,192.2,197.5,191.8,196.3
1978-07-24,196.4,197.0,193.5,193.8
1978-07-25,193.0,197.0,192.9,195.5
1978-07-26,196.0,196.0,192.3,195.0
1978-07-27,193.8,198.5,193.0,198.2
1978-07-28,201.5,202.4,199.8,200.6
1978-07-31,207.8,210.0,206.0,209.8
1978-08-01,214.0,214.3,207.0,207.5
1978-08-02,208.9,209.9,207.4,208.4
1978-08-03,209.6,209.6,205.0,205.7
1978-08-04,206.0,209.8,205.8,209.6
1978-08-07,209.6,213.4,208.5,213.1
1978-08-08,213.0,215.6,211.0,214.0
1978-08-09,214.3,215.1,210.6,210.8
1978-08-10,210.1,215.5,209.9,215.3
1978-08-11,216.5,218.0,215.5,216.0
1978-08-14,219.5,220.6,218.1,220.3
1978-08-15,219.0,219.2,216.1,218.0
1978-08-16,219.3,221.5,216.2,217.3
1978-08-17,214.0,214.5,211.5,211.7
1978-08-18,217.0,217.0,209.5,212.7
1978-08-21,209.6,213.0,208.4,212.7
1978-08-22,212.5,212.8,209.3,209.5
1978-08-23,201.5,207.7,201.5,207.1
1978-08-24,206.7,207.9,204.7,204.8
1978-08-25,203.1,203.9,201.9,202.6
1978-08-28,203.1,204.9,202.6,202.8
1978-08-29,203.8,211.5,202.5,211.4
1978-08-30,210.5,212.5,208.9,211.6
1978-08-31,213.0,213.5,210.3,210.6
1978-09-01,212.0,215.7,211.6,215.5
1978-09-05,215.0,218.6,213.4,217.6
1978-09-06,216.5,217.7,216.2,216.5
1978-09-07,215.8,216.3,211.1,211.3
1978-09-08,211.3,211.8,207.6,210.2
1978-09-11,209.7,211.6,208.1,210.4
1978-09-12,211.0,212.8,210.7,211.5
1978-09-13,211.5,216.0,211.5,215.6
1978-09-14,214.6,215.7,212.6,214.2
1978-09-15,215.0,216.9,213.5,214.5
1978-09-18,213.0,219.3,212.5,219.3
1978-09-19,215.9,218.0,213.8,214.4
1978-09-20,217.7,219.7,217.2,219.4
1978-09-21,220.5,221.3,218.8,220.1
1978-09-22,218.0,223.3,217.5,222.8
1978-09-25,221.1,224.5,221.1,221.7
1978-09-26,223.5,224.6,219.2,219.7
1978-09-27,220.2,222.4,215.0,222.3
1978-09-28,221.2,223.6,220.3,221.4
1978-09-29,221.3,221.6,220.1,220.9
1978-10-02,220.5,223.4,220.2,223.1
1978-10-03,223.5,226.6,223.4,226.4
1978-10-04,227.6,228.2,225.6,227.0
1978-10-05,227.8,228.0,226.0,227.2
1978-10-06,227.0,227.3,225.3,225.5
1978-10-09,225.9,227.3,224.5,227.1
1978-10-10,229.0,229.7,227.8,227.9
1978-10-11,230.0,230.8,229.5,230.7
1978-10-12,230.0,230.5,226.1,226.3
1978-10-13,228.8,228.8,226.4,226.9
1978-10-16,226.4,229.7,225.2,229.6
1978-10-17,231.0,231.9,229.7,231.1
1978-10-18,232.0,232.8,229.2,230.9
1978-10-19,228.5,229.3,227.5,227.7
1978-10-20,230.5,231.1,229.6,230.0
1978-10-23,230.5,230.5,227.6,227.8
1978-10-24,227.3,230.2,226.7,229.8
1978-10-25,232.4,235.7,232.1,235.5
1978-10-26,235.8,238.2,234.7,236.5
1978-10-27,237.0,239.7,235.5,239.4
1978-10-30,244.0,249.4,242.8,247.0
1978-10-31,246.7,246.7,237.8,240.7
1978-11-01,230.7,230.7,230.7,230.7
1978-11-02,220.7,223.7,220.7,220.7
1978-11-03,213.0,218.0,212.5,215.0
1978-11-06,210.0,213.6,209.0,213.2
1978-11-08,223.2,223.2,218.0,218.3
1978-11-09,215.8,216.0,208.3,208.5
1978-11-10,209.5,210.5,205.4,210.2
1978-11-13,208.0,212.7,207.5,211.2
1978-11-14,211.2,212.3,208.5,209.0
1978-11-15,207.0,207.7,199.0,199.1
1978-11-16,195.0,200.1,194.2,199.3
1978-11-17,198.5,201.8,196.7,200.0
1978-11-20,198.5,200.9,197.8,198.3
1978-11-21,199.7,203.5,196.7,197.9
1978-11-22,198.5,201.6,197.1,201.4
1978-11-24,202.6,203.6,200.3,201.4
1978-11-27,199.5,199.5,196.5,196.6
1978-11-28,196.2,196.8,192.0,192.6
1978-11-29,197.0,202.5,195.1,195.4
1978-11-30,196.0,197.8,194.4,196.4
1978-12-01,196.0,200.4,195.8,200.1
1978-12-04,202.0,203.1,199.5,199.9
1978-12-05,199.4,200.8,198.4,199.1
1978-12-06,198.8,201.1,197.8,200.9
1978-12-07,202.3,202.6,200.7,202.2
1978-12-08,204.1,207.8,203.8,207.6
1978-12-11,208.5,211.6,205.5,206.2
1978-12-12,204.0,209.0,203.5,208.3
1978-12-13,205.6,207.5,204.4,204.6
1978-12-14,206.0,207.7,205.4,207.1
1978-12-15,208.7,210.4,206.9,208.1
1978-12-18,217.0,218.0,214.8,217.6
1978-12-19,219.5,224.2,215.5,223.7
1978-12-20,220.4,220.5,217.6,217.6
1978-12-21,214.2,217.8,213.8,217.6
1978-12-22,218.4,218.7,216.2,216.7
1978-12-26,217.1,221.7,216.2,221.6
1978-12-27,223.0,226.5,222.8,224.8
1978-12-28,225.5,227.5,222.0,225.1
