time,open,high,low,close
1861-12-31,0.49,0.49,0.49,0.49
1862-12-31,1.05,1.05,1.05,1.05
1863-12-31,3.15,3.15,3.15,3.15
1866-12-31,3.74,3.74,3.74,3.74
1867-12-31,2.41,2.41,2.41,2.41
1868-12-31,3.63,3.63,3.63,3.63
1869-12-31,3.64,3.64,3.64,3.64
1872-12-31,3.64,3.64,3.64,3.64
1873-12-31,1.83,1.83,1.83,1.83
1874-12-31,1.17,1.17,1.17,1.17
1875-12-31,1.35,1.35,1.35,1.35
1877-12-31,2.42,2.42,2.42,2.42
1878-12-31,1.19,1.19,1.19,1.19
1879-12-31,0.86,0.86,0.86,0.86
1880-12-31,0.95,0.95,0.95,0.95
1883-12-31,1,1,1,1
1884-12-31,0.84,0.84,0.84,0.84
1885-12-31,0.88,0.88,0.88,0.88
1886-12-31,0.71,0.71,0.71,0.71
1888-12-31,0.88,0.88,0.88,0.88
1889-12-31,0.94,0.94,0.94,0.94
1890-12-31,0.87,0.87,0.87,0.87
1891-12-31,0.67,0.67,0.67,0.67
1894-12-31,0.84,0.84,0.84,0.84
1895-12-31,1.36,1.36,1.36,1.36
1896-12-31,1.18,1.18,1.18,1.18
1897-12-31,0.79,0.79,0.79,0.79
1900-12-31,1.19,1.19,1.19,1.19
1901-12-31,0.96,0.96,0.96,0.96
1902-12-31,0.8,0.8,0.8,0.8
1903-12-31,0.94,0.94,0.94,0.94
1906-12-31,0.73,0.73,0.73,0.73
1907-12-31,0.72,0.72,0.72,0.72
1908-12-31,0.72,0.72,0.72,0.72
1909-12-31,0.7,0.7,0.7,0.7
1912-12-31,0.74,0.74,0.74,0.74
1913-12-31,0.95,0.95,0.95,0.95
1914-12-31,0.81,0.81,0.81,0.81
1915-12-31,0.64,0.64,0.64,0.64
1917-12-31,1.56,1.56,1.56,1.56
1918-12-31,1.98,1.98,1.98,1.98
1919-12-31,2.01,2.01,2.01,2.01
1920-12-31,3.07,3.07,3.07,3.07
1923-12-31,1.34,1.34,1.34,1.34
1924-12-31,1.43,1.43,1.43,1.43
